# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# rows are defenders, columns are attackers, tournament standard.
# cell is 'hits alone / troop hits + tower hits when a Princess Tower fires too', both engaged from tick zero.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
RoyalGiant,9/6+10,29/15+17,15/9+14,29/15+17,9/1+31,17/10+14,18/11+13,19/9+18,,14/1+32,17/9+16,17/9+16,40/15+22,12/6+17,,32/19+15,21/13+14,15/7+18,15/7+18,13/9+12,11/5+19,13/8+14,16/10+13,12/8+14,11/7+11,19/11+15,17/7+20,,32/1+34,28/10+22,24/12+17,,,,16/1+33,5/1+27,50/7+30,18/8+19,17/9+16,22/1+33,13/7+16,,,12/8+13,18/10+15,26/13+18,,14/9+13,26/13+18,,20/12+14,,,29/1+34,,,29/1+34,36/11+24,16/12+8,13/10+7,35/15+20,16/9+15,,40/11+25,3/1+23,31/13+20,12/1+32,12/7+15,11/7+13,15/13+7,17/9+16,5/4+8,28/9+24,30/13+20,30/13+20,23/14+14,12/4+23,15/10+12,15/10+12,15/10+12,4/3+7,15/10+12,9/6+10,13/9+10,,26/13+17,15/8+16,3/1+19,9/6+11,,,24/11+19,40/15+22,21/8+22,16/8+17,28/14+17,40/15+22,18/1+33,40/12+24,15/9+13,16/9+15,12/7+15,,24/12+17,24/13+16,12/7+14,12/7+14,55/31+16,17/1+33,3/2+9,24/9+22
RoyalHogs,3/2+3,8/4+5,4/2+5,8/4+5,3/1+6,5/3+4,5/3+4,5/2+6,,4/1+7,5/2+5,5/2+5,11/4+6,4/2+5,,9/5+4,6/4+4,4/2+5,4/2+5,4/2+4,3/1+6,4/2+4,5/3+3,4/2+4,3/2+3,5/3+4,5/2+5,,9/1+9,8/3+7,7/3+5,,,,5/1+7,2/1+2,14/2+8,5/2+6,5/2+5,6/1+8,4/2+4,,,4/2+4,5/3+4,7/4+5,,4/3+4,7/4+5,,6/3+4,,,8/1+8,,,8/1+8,10/3+7,11/6+5,9/5+4,10/4+6,5/3+4,,11/3+7,1/1+1,9/3+6,4/1+7,4/2+4,3/2+4,9/6+4,5/2+5,2/1+2,8/2+7,8/3+6,8/3+6,6/4+4,4/1+7,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,3/2+3,4/3+3,,7/4+5,4/2+5,1/1+1,3/2+4,,,7/3+5,11/4+6,6/2+6,5/2+5,8/4+5,11/4+6,5/1+8,11/3+7,4/3+4,5/2+5,4/2+4,,7/3+5,7/3+5,3/2+4,3/2+4,15/9+5,5/1+8,1/1+4,7/2+7
RoyalRecruits,3/2+4,8/4+5,5/3+5,8/4+5,3/1+6,5/3+4,6/3+4,6/3+6,,5/1+7,5/3+5,5/3+5,10/4+6,4/2+6,,9/5+4,6/3+4,5/2+6,5/2+6,4/3+4,3/1+6,4/3+5,5/3+3,4/3+5,3/2+4,6/3+4,5/2+6,,9/1+8,8/3+7,7/4+5,,,,5/1+7,2/1+6,13/2+8,6/2+6,5/3+5,6/1+7,4/2+6,,,3/2+5,5/3+4,7/4+5,,5/3+4,7/4+5,,6/3+4,,,8/1+8,,,8/1+8,10/3+7,11/6+5,10/5+4,9/4+5,5/3+4,,10/3+7,2/1+6,9/3+6,4/1+6,4/2+6,3/2+5,9/6+4,5/2+5,2/2+4,8/2+7,9/3+6,9/3+6,6/4+4,4/1+7,5/3+3,5/3+3,5/3+3,2/2+4,5/3+4,3/2+4,4/3+3,,7/4+5,5/2+6,2/1+6,3/2+4,,,7/3+6,10/4+6,6/2+7,5/2+6,8/4+5,10/4+6,6/1+7,10/3+7,5/3+4,5/2+5,4/2+6,,7/4+5,7/4+5,3/2+5,3/2+5,15/8+4,5/1+7,2/1+4,7/2+7
SkeletonArmy,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,,,,1/0+1,1/1+1,2/0+1,1/0+1,1/0+1,1/1+1,1/0+1,,,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,,1/0+1,,,1/0+1,,,1/0+1,1/0+1,3/0+1,2/0+1,1/0+1,1/0+1,,1/0+1,1/1+1,1/0+1,1/1+1,1/0+1,1/0+1,2/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/1+1,1/0+1,,,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,1/0+1,2/1+1,1/1+1,1/0+1,1/0+1
SkeletonBalloon,,5/3+3,3/2+3,5/3+3,2/1+2,,3/2+2,4/1+4,,3/1+4,,,7/3+4,,,,4/2+3,,,,,,,,,4/2+3,3/1+4,,6/1+5,5/2+4,4/2+3,,,,3/1+4,1/1+1,9/1+6,3/1+4,,4/1+5,,,,,,,,,,,,,,5/1+5,,,5/1+5,6/2+4,8/4+4,8/4+4,6/2+4,,,7/2+5,1/1+1,6/2+4,2/1+3,,2/1+3,,,,5/1+5,5/2+4,5/2+4,,,,3/2+2,3/2+2,,3/2+2,,,,5/2+4,,1/1+1,,,,,,4/1+5,,,,3/1+4,7/2+5,3/2+3,3/2+3,,,4/2+3,4/2+3,2/1+3,2/1+3,,3/1+4,,4/2+4
SkeletonBalloon_EV1,,6/3+4,3/2+3,6/3+4,2/1+4,,4/3+3,4/2+4,,3/1+5,,,9/3+5,,,,5/3+3,,,,,,,,,4/2+4,4/2+5,,7/1+7,6/2+5,5/3+4,,,,4/1+5,1/1+1,11/1+7,4/2+4,,5/1+6,,,,,,,,,,,,,,7/1+7,,,7/1+7,8/2+6,10/4+4,8/4+4,8/3+5,,,9/2+6,1/1+1,7/3+5,3/1+5,,3/1+4,,,,6/2+5,7/3+4,7/3+4,,,,4/2+3,4/2+3,,4/2+3,,,,6/3+4,,1/1+1,,,,,,5/2+5,,,,4/1+6,9/2+6,4/2+3,4/2+3,,,5/3+4,5/3+4,3/2+4,3/2+4,,4/1+6,,5/2+5
SkeletonDragons,,5/3+3,3/2+3,5/3+3,2/1+3,,4/2+3,4/2+4,,3/1+4,,,7/3+4,,,,4/2+3,,,,,,,,,4/2+3,3/1+4,,6/1+6,5/2+4,5/2+4,,,,3/1+4,1/1+1,9/1+6,4/2+4,,4/1+5,,,,,,,,,,,,,,6/1+5,,,6/1+5,7/2+5,9/4+4,8/4+4,7/3+4,,,7/2+5,1/1+1,6/2+4,3/1+4,,2/1+3,,,,5/1+5,6/2+4,6/2+4,,,,3/2+2,3/2+2,,3/2+2,,,,5/2+4,,1/1+1,,,,,,4/1+5,,,,4/1+5,7/2+5,3/2+3,3/2+3,,,5/2+4,5/2+4,2/2+4,2/2+4,,3/1+4,,5/2+4
SkeletonKing,6/4+9,21/11+12,11/6+11,21/11+12,7/1+21,12/8+10,13/8+10,14/7+13,,10/1+23,12/7+12,12/7+12,29/11+16,9/5+13,,23/13+11,16/10+10,11/5+13,11/5+13,10/6+9,8/4+13,9/6+11,12/8+9,9/6+11,8/5+8,14/8+11,12/5+15,,24/1+24,20/7+17,18/9+12,,,,12/1+23,4/1+18,36/5+22,13/6+14,12/7+12,16/1+24,9/5+11,,,9/5+10,13/7+11,19/9+13,,10/6+10,19/9+13,,15/9+10,,,21/1+24,,,21/1+24,26/8+18,14/10+7,12/9+6,25/11+14,12/7+10,,29/8+18,3/1+14,23/9+15,9/1+23,9/5+11,8/5+9,13/11+6,12/7+11,4/3+6,20/6+18,22/9+15,22/9+15,17/10+10,9/3+17,11/7+9,11/7+9,11/7+9,3/2+7,11/7+9,6/4+8,9/7+7,,19/10+12,11/6+11,2/1+9,7/4+9,,,18/8+14,29/11+16,16/6+16,12/6+12,20/10+13,29/11+16,13/1+24,29/8+18,11/7+10,12/7+11,9/5+11,,18/9+12,18/9+12,9/5+10,9/5+10,40/23+12,12/1+23,2/2+9,18/7+16
SkeletonWarriors,2/1+3,4/2+2,3/1+3,4/2+2,2/1+1,3/1+2,3/1+2,3/1+3,,3/1+2,3/1+3,3/1+3,5/1+3,2/1+3,,4/2+2,3/2+2,3/1+3,3/1+3,3/1+2,2/1+3,2/1+3,3/1+2,2/1+3,2/1+2,3/1+2,3/1+3,,4/1+3,4/1+3,3/2+2,,,,3/1+2,2/1+1,6/1+4,3/1+3,3/1+3,3/1+3,2/1+3,,,2/1+3,3/1+2,4/2+3,,3/1+2,4/2+3,,3/2+3,,,4/1+3,,,4/1+3,4/1+3,7/3+3,7/2+3,4/2+2,3/1+2,,5/1+3,2/1+1,4/1+3,2/1+1,2/1+3,2/1+3,7/3+3,3/1+2,2/1+3,4/1+3,4/1+3,4/1+3,3/2+2,2/0+4,3/1+2,3/1+2,3/1+2,2/1+3,3/1+2,2/1+3,2/1+2,,4/2+2,3/1+3,2/1+1,2/1+3,,,3/1+3,5/1+3,3/1+3,3/1+3,4/2+2,5/1+3,3/1+2,5/1+3,3/1+2,3/1+2,2/1+3,,3/2+2,3/1+3,2/1+3,2/1+3,7/3+2,3/1+2,2/0+4,3/1+3
SkeletonWarriors#shield,1/1+2,3/1+2,2/1+2,3/1+2,1/1+1,2/1+1,2/1+1,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+2,1/1+3,,3/1+2,2/1+2,2/1+2,2/1+3,2/1+1,1/0+3,1/1+2,2/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,3/1+2,2/1+2,,,,2/1+1,1/1+1,4/0+3,2/1+2,2/1+2,2/1+2,1/1+2,,,1/1+2,2/1+1,3/1+2,,2/1+1,3/1+2,,2/1+2,,,3/1+2,,,3/1+2,3/1+2,6/2+3,6/2+3,3/1+2,2/1+1,,4/1+2,1/1+1,3/1+2,1/1+1,1/1+2,1/1+2,6/2+2,2/1+2,1/1+2,3/1+2,3/1+2,3/1+2,2/1+2,1/0+3,2/1+1,2/1+1,2/1+1,1/1+2,2/1+1,1/1+2,1/1+1,,3/1+2,2/1+2,1/1+1,1/1+2,,,2/1+2,4/1+2,2/1+3,2/1+2,3/1+2,4/1+2,2/1+1,4/1+2,2/1+1,2/1+1,1/1+2,,2/1+2,2/1+2,1/1+2,1/1+2,5/3+2,2/1+1,1/0+3,2/1+2
Skeletons,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,,,,1/0+1,1/1+1,2/0+1,1/0+1,1/0+1,1/1+1,1/0+1,,,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,,1/0+1,,,1/0+1,,,1/0+1,1/0+1,3/0+1,2/0+1,1/0+1,1/0+1,,1/0+1,1/1+1,1/0+1,1/1+1,1/0+1,1/0+1,2/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/1+1,1/0+1,,,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,1/0+1,2/1+1,1/1+1,1/0+1,1/0+1
SpearGoblins,1/0+2,2/1+1,1/0+2,2/1+1,1/1+1,1/1+1,1/1+1,1/0+2,,1/1+1,1/0+2,1/0+2,2/1+1,1/0+2,,2/1+1,1/1+1,1/0+2,1/0+2,1/1+1,1/0+2,1/0+2,1/1+1,1/0+2,1/1+1,1/1+1,1/0+2,,2/1+1,2/0+2,1/1+1,,,,1/1+1,1/1+1,3/0+2,1/0+2,1/0+2,1/1+1,1/0+2,,,1/0+2,1/1+1,2/1+1,,1/1+1,2/1+1,,1/1+1,,,2/1+1,,,2/1+1,2/0+2,4/0+2,4/0+2,2/1+1,1/1+1,,2/1+1,1/1+1,2/1+2,1/1+1,1/0+2,1/0+2,4/1+1,1/1+2,1/0+2,2/0+2,2/1+1,2/1+1,1/1+1,1/0+2,1/1+1,1/1+1,1/1+1,1/0+2,1/1+1,1/0+2,1/1+1,,2/1+1,1/0+2,1/1+1,1/0+2,,,1/1+2,2/1+1,1/0+2,1/0+2,2/1+1,2/1+1,1/1+1,2/0+2,1/1+1,1/1+1,1/0+2,,1/1+1,1/1+1,1/0+2,1/0+2,3/1+1,1/1+1,1/0+2,1/0+2
SuspiciousBush,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,,,,1/0+1,1/1+1,2/0+1,1/0+1,1/0+1,1/1+1,1/0+1,,,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,,1/0+1,,,1/0+1,,,1/0+1,1/0+1,3/0+1,2/0+1,1/0+1,1/0+1,,1/0+1,1/1+1,1/0+1,1/1+1,1/0+1,1/0+1,2/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/1+1,1/0+1,,,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,,1/0+1,1/0+1,1/0+1,1/0+1,2/1+1,1/1+1,1/0+1,1/0+1
Tesla,4/2+5,11/5+7,6/3+6,11/5+7,4/1+9,7/4+5,7/5+6,8/3+8,2/2+5,6/1+11,7/3+7,7/3+7,15/5+9,5/3+8,5/1+10,12/7+6,8/5+5,6/3+7,6/3+7,5/3+5,5/2+7,5/3+5,6/4+5,5/3+5,4/3+4,7/4+6,7/3+8,8/3+8,12/1+12,11/4+9,9/5+7,5/3+5,10/5+6,19/6+9,6/1+11,2/1+6,19/3+11,7/3+8,7/3+7,8/1+12,5/3+7,5/3+6,8/4+7,5/3+5,7/4+5,10/5+7,7/4+7,6/3+6,10/5+7,10/4+8,8/4+6,4/2+7,15/3+11,11/1+12,4/2+6,15/3+11,11/1+12,14/4+9,11/8+6,11/7+5,13/6+7,6/4+6,23/6+10,15/4+10,2/1+2,12/5+8,5/1+10,5/3+6,4/3+6,10/7+5,7/4+6,2/2+4,11/3+10,12/5+8,12/5+8,9/5+6,5/1+10,6/4+4,6/4+5,6/4+5,2/1+4,6/4+5,4/2+5,5/4+4,5/3+6,10/5+7,6/3+6,1/1+1,4/2+5,4/3+6,16/5+9,9/4+8,15/6+8,8/3+8,6/3+7,11/5+7,15/6+8,7/1+11,15/4+10,6/4+6,6/4+6,5/3+6,5/1+10,9/5+7,9/5+6,5/3+5,5/3+5,21/11+6,7/1+11,1/1+4,9/3+9
ThreeMusketeers,3/2+3,8/4+5,4/2+5,8/4+5,3/1+6,5/3+4,5/3+4,6/2+6,,4/1+8,5/3+5,5/3+5,11/4+7,4/2+5,,9/5+5,6/4+4,4/2+5,4/2+5,4/3+4,4/2+6,4/2+5,5/3+4,4/2+4,3/2+3,6/3+5,5/2+6,,9/1+9,8/3+7,7/4+5,,,,5/1+8,2/1+3,14/2+9,5/2+6,5/3+5,6/1+8,4/2+4,,,4/2+4,5/3+4,8/4+5,,4/3+4,8/4+5,,6/3+5,,,9/1+9,,,9/1+9,10/3+7,11/6+5,10/5+4,10/4+6,5/3+4,,11/3+7,1/1+1,9/4+6,4/1+7,4/2+4,3/2+4,9/6+4,5/3+5,2/1+2,8/2+8,9/4+6,9/4+6,7/4+4,4/1+7,5/3+3,5/3+3,5/3+3,2/1+2,5/3+4,3/2+3,4/3+3,,8/4+5,5/2+5,1/1+1,3/2+4,,,7/3+6,11/4+7,6/2+7,5/2+6,8/4+5,11/4+7,5/1+8,11/3+7,5/3+4,5/3+5,4/2+4,,7/4+5,7/4+5,4/2+4,4/2+4,16/9+5,5/1+8,1/1+4,7/2+7
Tombstone,2/1+2,5/3+3,3/2+3,5/3+3,2/1+2,3/2+3,3/2+2,4/1+4,1/1+3,3/1+4,3/2+4,3/2+4,7/2+4,2/1+3,2/1+3,6/3+3,4/2+3,3/1+4,3/1+4,3/2+3,2/1+3,3/1+3,3/2+2,2/1+3,2/1+3,4/2+3,3/1+4,4/1+4,6/1+5,5/2+4,4/2+3,3/2+2,5/2+3,9/3+4,3/1+4,1/1+1,9/1+6,3/1+4,3/1+4,4/1+5,3/1+3,3/1+3,4/2+4,2/1+3,3/2+3,5/2+4,4/2+3,3/2+3,5/2+4,5/2+3,4/2+3,2/1+3,7/1+5,5/1+5,2/1+3,7/1+5,5/1+5,6/2+4,8/4+4,7/4+4,6/2+4,3/2+3,10/3+5,7/2+4,1/1+1,6/2+4,2/1+3,2/1+3,2/1+3,7/5+3,3/2+3,1/1+2,5/1+5,5/2+4,5/2+4,4/2+3,2/1+5,3/2+2,3/2+2,3/2+2,1/1+2,3/2+2,2/1+2,3/2+2,3/1+4,5/2+4,3/1+4,1/1+1,2/1+2,2/1+3,8/3+5,4/2+3,7/2+4,4/1+5,3/1+4,5/2+4,7/2+4,3/1+4,7/2+4,3/2+3,3/2+3,2/1+3,2/1+3,4/2+3,4/2+3,2/1+3,2/1+3,10/5+3,3/1+4,1/1+4,4/2+4
Valkyrie,5/4+7,18/9+10,9/5+9,18/9+10,6/1+17,10/6+9,11/7+8,12/6+11,,9/1+19,10/6+11,10/6+11,24/9+13,8/4+10,,19/11+9,13/8+8,9/5+11,9/4+11,8/5+8,7/3+12,8/5+9,10/6+8,8/5+9,7/4+8,12/7+10,10/4+13,,20/1+20,17/6+14,15/7+11,,,,10/1+19,3/1+14,30/4+18,11/5+11,10/6+10,13/1+20,8/4+10,,,7/5+8,11/6+9,16/8+11,,9/5+9,16/8+11,,12/7+9,,,18/1+20,,,18/1+20,22/6+15,13/9+6,12/8+6,21/9+12,10/6+9,,24/7+15,2/1+10,19/8+12,8/1+18,8/4+10,7/4+8,12/10+6,10/6+10,3/2+5,17/5+15,18/8+12,18/8+12,14/8+9,8/2+15,9/6+7,9/6+7,9/6+7,3/2+4,9/6+7,5/4+7,8/6+6,,16/8+10,9/5+9,2/1+5,6/4+7,,,15/7+11,24/9+13,13/5+13,10/5+10,17/8+11,24/9+13,11/1+19,24/7+15,9/6+8,10/6+10,8/4+10,,15/7+11,15/8+10,7/4+9,7/4+9,33/19+10,10/1+19,2/1+7,15/6+13
Wallbreakers,1/1+2,3/2+2,2/1+2,3/2+2,1/1+1,2/1+2,2/1+2,2/1+2,,2/1+2,2/1+2,2/1+2,5/1+3,2/1+3,,4/2+2,3/1+2,2/1+2,2/1+3,2/1+1,2/1+3,2/1+2,2/1+2,2/1+2,2/1+1,2/1+2,2/1+2,,4/1+3,3/1+3,3/2+2,,,,2/1+2,1/1+1,6/1+3,2/1+2,2/1+2,3/1+2,2/1+2,,,2/1+2,2/1+2,3/2+3,,2/1+2,3/2+3,,3/1+2,,,3/1+3,,,3/1+3,4/1+3,7/2+3,6/2+3,4/2+2,2/1+2,,5/1+3,1/1+1,4/1+3,2/1+1,2/1+2,2/1+2,6/3+3,2/1+2,1/1+2,3/1+3,4/1+3,4/1+3,3/2+2,2/0+4,2/1+2,2/1+2,2/1+2,1/1+2,2/1+2,1/1+2,2/1+1,,3/2+2,2/1+2,1/1+1,1/1+2,,,3/1+3,5/1+3,3/1+3,2/1+2,3/2+2,5/1+3,2/1+2,5/1+3,2/1+2,2/1+2,2/1+2,,3/2+2,3/1+3,2/1+2,2/1+2,6/3+2,2/1+2,1/0+4,3/1+3
Witch,3/2+3,8/4+5,4/2+5,8/4+5,3/1+6,5/3+4,5/3+4,5/2+6,,4/1+7,5/2+5,5/2+5,11/4+6,4/2+5,,9/5+4,6/4+4,4/2+5,4/2+5,4/2+4,3/1+6,4/2+4,5/3+3,4/2+4,3/2+3,5/3+4,5/2+5,,9/1+9,8/3+7,7/3+5,,,,5/1+7,2/1+2,14/2+8,5/2+6,5/2+5,6/1+8,4/2+4,,,4/2+4,5/3+4,7/4+5,,4/3+4,7/4+5,,6/3+4,,,8/1+8,,,8/1+8,10/3+7,11/6+5,9/5+4,10/4+6,5/3+4,,11/3+7,1/1+1,9/3+6,4/1+7,4/2+4,3/2+4,9/6+4,5/2+5,2/1+2,8/2+7,8/3+6,8/3+6,6/4+4,4/1+7,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,3/2+3,4/3+3,,7/4+5,4/2+5,1/1+1,3/2+4,,,7/3+5,11/4+6,6/2+6,5/2+5,8/4+5,11/4+6,5/1+8,11/3+7,4/3+4,5/2+5,4/2+4,,7/3+5,7/3+5,3/2+4,3/2+4,15/9+5,5/1+8,1/1+4,7/2+7
WitchMother,2/1+2,5/3+3,3/2+3,5/3+3,2/1+2,3/2+3,3/2+2,4/1+4,,3/1+4,3/2+4,3/2+4,7/2+4,2/1+3,,6/3+3,4/2+3,3/1+4,3/1+4,3/2+3,2/1+3,3/1+3,3/2+2,2/1+3,2/1+3,4/2+3,3/1+4,,6/1+5,5/2+4,4/2+3,,,,3/1+4,1/1+1,9/1+6,3/1+4,3/1+4,4/1+5,3/1+3,,,2/1+3,3/2+3,5/2+4,,3/2+3,5/2+4,,4/2+3,,,5/1+5,,,5/1+5,6/2+4,8/4+4,7/4+4,6/2+4,3/2+3,,7/2+4,1/1+1,6/2+4,2/1+3,2/1+3,2/1+3,7/5+3,3/2+3,1/1+2,5/1+5,5/2+4,5/2+4,4/2+3,2/1+5,3/2+2,3/2+2,3/2+2,1/1+2,3/2+2,2/1+2,3/2+2,,5/2+4,3/1+4,1/1+1,2/1+2,,,4/2+3,7/2+4,4/1+5,3/1+4,5/2+4,7/2+4,3/1+4,7/2+4,3/2+3,3/2+3,2/1+3,,4/2+3,4/2+3,2/1+3,2/1+3,10/5+3,3/1+4,1/1+4,4/2+4
Wizard,2/2+3,7/4+4,4/2+4,7/4+4,3/1+5,4/2+4,5/3+3,5/2+5,,4/1+6,4/2+5,4/2+5,10/3+6,3/2+5,,8/4+4,5/3+4,4/2+4,4/2+5,4/2+3,3/1+6,3/2+4,4/3+3,3/2+4,3/2+3,5/3+4,4/2+5,,8/1+8,7/2+6,6/3+4,,,,4/1+6,2/1+1,12/2+7,5/2+5,4/2+4,6/1+7,3/2+4,,,3/2+3,5/3+4,7/3+5,,4/2+4,7/3+5,,5/3+4,,,7/1+8,,,7/1+8,9/3+6,10/5+4,9/4+4,9/4+5,4/2+4,,10/3+6,1/1+1,8/3+5,3/1+6,3/2+4,3/2+4,8/6+4,4/2+4,1/1+2,7/2+6,8/3+5,8/3+5,6/3+4,3/1+6,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,3/2+3,,7/3+5,4/2+4,1/1+1,3/2+4,,,6/3+5,10/4+5,5/2+5,4/2+4,7/3+5,10/4+5,5/1+7,10/3+6,4/2+4,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,14/7+4,4/1+7,1/1+4,6/2+6
Wizard_EV1,3/3+5,9/5+6,5/3+6,9/5+6,4/1+9,5/3+5,7/4+4,7/3+7,,5/1+9,5/3+7,5/3+7,13/5+7,4/3+8,,10/5+5,7/4+5,5/3+7,5/3+7,5/3+4,4/2+6,4/3+5,5/4+4,4/3+5,4/3+4,7/4+5,5/3+8,,10/1+11,9/3+8,8/4+5,,,,5/1+10,3/1+9,15/2+10,7/3+7,5/3+6,8/1+10,4/3+7,,,4/3+5,7/4+5,9/4+6,,5/3+5,9/4+6,,7/4+5,,,9/1+10,,,9/1+10,12/4+8,11/6+5,10/6+5,12/5+7,5/3+5,,13/4+8,2/1+9,10/4+6,4/1+9,4/3+6,4/3+6,9/7+4,5/3+5,2/2+4,9/3+8,10/4+6,10/4+6,8/4+5,4/1+9,5/4+4,5/3+5,5/3+5,2/2+4,5/3+5,3/3+5,4/3+4,,9/4+6,5/3+6,2/1+9,4/3+5,,,8/4+6,13/5+7,7/3+8,5/3+6,9/4+6,13/5+7,7/1+10,13/4+8,5/3+5,5/3+5,4/3+6,,8/4+5,8/4+5,4/3+5,4/3+5,18/9+5,5/1+9,2/1+4,8/3+8
Wizard_EV1#shield,1/1+2,2/1+1,1/1+2,2/1+1,1/1+1,1/1+1,2/1+1,2/1+2,,1/1+1,1/1+2,1/1+2,3/1+2,1/1+3,,2/1+1,2/1+1,1/1+2,1/1+3,1/1+1,1/0+3,1/1+2,1/1+1,1/1+2,1/1+1,2/1+1,1/1+2,,2/1+2,2/1+2,2/1+1,,,,1/1+1,1/1+1,3/0+3,2/1+2,1/1+2,2/1+1,1/1+2,,,1/1+2,2/1+1,2/1+1,,1/1+1,2/1+1,,2/1+1,,,2/1+1,,,2/1+1,3/1+2,6/1+2,5/1+2,3/1+2,1/1+1,,3/1+2,1/1+1,2/1+2,1/1+1,1/1+2,1/1+2,5/1+2,1/1+2,1/1+2,2/1+2,2/1+1,2/1+1,2/1+1,1/0+3,1/1+1,1/1+1,1/1+1,1/1+2,1/1+1,1/1+2,1/1+1,,2/1+1,1/1+2,1/1+1,1/1+2,,,2/1+2,3/1+2,2/1+3,1/1+2,2/1+1,3/1+2,2/1+1,3/1+2,1/1+1,1/1+1,1/1+2,,2/1+1,2/1+1,1/1+2,1/1+2,4/2+1,1/1+1,1/0+3,2/1+2
